Id,CreatedAt,Title,PriceAmount,PriceCurrency,AuthorId,State,ImageCount,CurrentStockQuantity,PublicData,PrivateData,Metadata
68c034df-fc55-4af1-b1c6-bb4b25deb2b6,2025-09-09T14:08:31Z,BEAMIT,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""dmls"",""slm""],""affiliatelinkid"":""https://www.beam-it.eu"",""cardStyle"":""main-brand"",""categoryLevel1"":""europe"",""listingType"":""free-listing"",""location"":{""address"":""Str. Prinzera, 17, 43045 Fornovo di Taro PR, Italy"",""building"":""""},""metalid"":[""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-718"",""inconel-625"",""maraging-steel"",""aluminum-aisi10mg"",""titanium-ti-6al-4v""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bf452e-1fca-4109-b61b-8f12bfae092a,2025-09-08T21:05:50Z,Paragon Rapid Technologies,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""mjf"",""sla"",""sls"",""dlp"",""fdm""],""affiliatelinkid"":""https://paragon-rt.com/"",""cardStyle"":""white"",""categoryLevel1"":""europe"",""listingType"":""free-listing"",""location"":{""address"":""Darlington DL2 1NA, UK"",""building"":""""},""thermoplasticid"":[""pp-natural"",""polypropylene-mjf"",""petg"",""pc"",""pc-or-pc-abs"",""nylon-pa-12"",""absplus-stratasys"",""abs-m30i"",""abs-like-black"",""abs-m30-stratasys"",""abs-white"",""nylon-12"",""standardpla"",""hips"",""sls_pa12_pa2200""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bf3b6e-943a-4d0f-8441-409ef87a956b,2025-09-08T20:24:14Z,ADDMAN,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""dmls"",""fdm"",""mjf"",""sls""],""affiliatelinkid"":""https://www.addmangroup.com/"",""cardStyle"":""white"",""categoryLevel1"":""northamerica"",""listingType"":""free-listing"",""location"":{""address"":""16340 Innovation Ln, Fort Myers, FL 33913, USA"",""building"":""""},""metalid"":[""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-718"",""inconel-625"",""maraging-steel"",""ni625"",""gold-plated-brass""],""thermoplasticid"":[""pp-natural"",""polypropylene-mjf"",""pc-or-pc-abs"",""pc"",""pa11-sls"",""nylon-pa-12"",""nylon-12"",""absplus-stratasys"",""abs-m30i"",""abs-like-black"",""abs-m30-stratasys"",""abs-white"",""duraform-pa-nylon-12"",""hips"",""kevlarreinforcedfilaments"",""sls_pa12_pa2200"",""mjf_pa12"",""carbonfiberreinforcedfilaments""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bf2a5b-2820-4ddc-b944-c55c585a76f9,2025-09-08T19:11:23Z,Materialise Manufacturing,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""dmls"",""mjf"",""material-jetting"",""sla"",""sls""],""affiliatelinkid"":""https://www.materialise.com"",""cardStyle"":""white"",""categoryLevel1"":""europe"",""listingType"":""free-listing"",""location"":{""address"":""Technologielaan 15, 3001 Leuven, Belgium"",""building"":""""},""metalid"":[""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-625"",""maraging-steel"",""inconel-718"",""ni625"",""420i-420ss-brz""],""thermoplasticid"":[""pa-af"",""tpu-mjf"",""polypropylene-mjf"",""pc-or-pc-abs"",""pc"",""pa11-sls"",""nylon-pa-12-blue-metal"",""nylon-pa-12"",""abs-m30i"",""abs-m30-stratasys"",""abs-white"",""duraform-pa-nylon-12"",""duraform-hst"",""duraform-tpu"",""absplus-stratasys"",""duraform-ex"",""carbonfiberreinforcedfilaments"",""kevlarreinforcedfilaments""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bf1eb4-8653-4d97-b2ce-4a456cab34fd,2025-09-08T18:21:40Z,ZiggZagg,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"": [""dmls"", ""mjf"", ""sla"", ""sls""], ""affiliatelinkid"": ""https://www.ziggzagg.com"", ""cardStyle"": ""white"", ""categoryLevel1"": ""europe"", ""listingType"": ""free-listing"", ""location"": {""address"": ""Belgium"", ""building"": """"}, ""thermoplasticid"": [""pei-ultem-9085-stratasys"", ""tpu-70-a-white"", ""tpu-mjf"", ""nylon-pa-12"", ""nylon-12-mineral-filled-hst"", ""nylon-12-flame-retardant-fr"", ""nylon-12-aluminum-filled-af"", ""nylon-12"", ""formlabs-clear-resin"", ""abs-m30i"", ""abs-like-black"", ""abs-m30-stratasys"", ""carbonfiberreinforcedfilaments"", ""kevlarreinforcedfilaments""], ""transactionProcessAlias"": ""default-inquiry/release-1"", ""unitType"": ""inquiry"", ""metalid"": [""stainless-steel-316l"", ""inconel-718"", ""inconel-625"", ""aluminum-aisi10mg"", ""titanium-ti-6al-4v""]}",{},
68bf0852-bb86-4bfc-b72d-763010a406c4,2025-09-08T16:46:10Z,AML3D,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"": [""ded""], ""affiliatelinkid"": ""https://aml3d.com/"", ""cardStyle"": ""white"", ""categoryLevel1"": ""asia"", ""categoryLevel2"": ""southamerica"", ""listingType"": ""free-listing"", ""location"": {""address"": ""Adelaide SA, Australia"", ""building"": """"}, ""metalid"": [""aluminum-aisi10mg"", ""titanium-ti-6al-4v"", ""steel"", ""stainless-steel-316l"", ""inconel-718"", ""inconel-625"", ""stainless-steel-17-4ph""], ""transactionProcessAlias"": ""default-inquiry/release-1"", ""unitType"": ""inquiry""}",{},
68bf0130-0b4f-41ab-9de1-01b7f2b8d2bf,2025-09-08T16:15:44Z,GKN Additive,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""binder-jetting"",""dmls""],""affiliatelinkid"":""https://www.gknpm.com/en/technologies/metal-additive-manufacturing/"",""cardStyle"":""white"",""categoryLevel1"":""europe"",""listingType"":""free-listing"",""location"":{""address"":""53 Bonn, Germany"",""building"":""""},""metalid"":[""inconel-625"",""ni625"",""maraging-steel"",""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""inconel-718""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68befa19-14a5-481a-b1d8-05e422bd9095,2025-09-08T15:45:29Z,Sintavia,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""dmls"",""slm""],""affiliatelinkid"":""https://sintavia.com"",""cardStyle"":""white"",""categoryLevel1"":""northamerica"",""listingType"":""free-listing"",""location"":{""address"":""Hollywood, FL, USA"",""building"":""""},""metalid"":[""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-718"",""inconel-625"",""ni625""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bef8bd-1d6a-441d-9745-d502677ddb73,2025-09-08T15:39:41Z,Incodema3D,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""dmls""],""affiliatelinkid"":""https://www.incodema3d.com"",""cardStyle"":""white"",""categoryLevel1"":""northamerica"",""listingType"":""free-listing"",""location"":{""address"":""Ithaca, NY, USA"",""building"":""""},""metalid"":[""maraging-steel"",""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-718"",""inconel-625"",""ni625""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
68bef37e-42c0-4432-b9c7-60dd5d75763c,2025-09-08T15:17:18Z,Burloak Technologies,,,689e48bb-b5fd-47a3-a809-a12d33e388cb,published,1,,"{""TechnologyID"":[""sls"",""slm"",""dlp"",""dmls"",""fdm"",""mjf"",""sla""],""affiliatelinkid"":""https://www.burloaktech.com"",""cardStyle"":""white"",""categoryLevel1"":""northamerica"",""listingType"":""free-listing"",""location"":{""address"":""Oakville, ON, Canada"",""building"":""""},""metalid"":[""aluminum-aisi10mg"",""titanium-ti-6al-4v"",""steel"",""stainless-steel-316l"",""stainless-steel-17-4ph"",""inconel-718"",""maraging-steel"",""ni625"",""inconel-625""],""thermoplasticid"":[""pp-natural"",""polypropylene-mjf"",""pc-or-pc-abs"",""pc"",""pa11-sls"",""accura-25"",""absplus-stratasys"",""abs-m30i"",""abs-like-black"",""abs-m30-stratasys"",""abs-white"",""duraform-gf-glass-filled-nylon"",""nylon-pa-12""],""transactionProcessAlias"":""default-inquiry/release-1"",""unitType"":""inquiry""}",{},
