kind,supplier_name,supplier_website,orphaned_item,context_other_items
technology-orphan,HabitAdd,https://habitadd.bg,DED,Ceramic
technology-orphan,Printerior,https://printeriordesigns.com,SLA,PETG; PLA
technology-orphan,Printerior,https://printeriordesigns.com,SLS,PETG; PLA
material-orphan,LaMáquina,https://lamaquina.io,Ceramic,FDM
technology-orphan,Shapeways,https://www.shapeways.com/,MJF,ABS; ASA; PC (Polycarbonate); PETG
technology-orphan,Shapeways,https://www.shapeways.com/,SLS,ABS; ASA; PC (Polycarbonate); PETG
technology-orphan,Shapeways,https://www.shapeways.com/,Binder Jetting,ABS; ASA; PC (Polycarbonate); PETG
technology-orphan,Shapeways,https://www.shapeways.com/,SLA,ABS; ASA; PC (Polycarbonate); PETG
technology-orphan,Imaginarium,https://imaginarium.io,SLA,ABS; PC (Polycarbonate)
technology-orphan,Imaginarium,https://imaginarium.io,SLS,ABS; PC (Polycarbonate)
technology-orphan,Imaginarium,https://imaginarium.io,DLP,ABS; PC (Polycarbonate)
technology-orphan,Imaginarium,https://imaginarium.io,Material Jetting,ABS; PC (Polycarbonate)
technology-orphan,"Wenext Technology Co., Ltd",https://www.wenext.com,SLA,ABS; ASA; Copper; PP (Polypropylene); TPU; Titanium; Tool Steel
material-orphan,NanoFract UG,https://www.nanofract.com,Ceramic,FDM
material-orphan,NanoFract UG,https://www.nanofract.com,Tool Steel,FDM
material-orphan,NanoFract UG,https://www.nanofract.com,Brass,FDM
technology-orphan,NanoFract UG,https://www.nanofract.com,FDM,Brass; Ceramic; Tool Steel
technology-orphan,Plus Manufact GmbH,https://plusmanufact.de,MJF,Titanium
material-orphan,Geomiq,https://geomiq.com,Silicone,CNC Machining; Die Casting; FDM; MJF; Material Jetting; SLA; SLM; SLS
technology-orphan,Geomiq,https://geomiq.com,SLA,Silicone
technology-orphan,Geomiq,https://geomiq.com,FDM,Silicone
technology-orphan,Geomiq,https://geomiq.com,SLS,Silicone
technology-orphan,Geomiq,https://geomiq.com,MJF,Silicone
technology-orphan,Geomiq,https://geomiq.com,CNC Machining,Silicone
technology-orphan,Geomiq,https://geomiq.com,Die Casting,Silicone
technology-orphan,Geomiq,https://geomiq.com,SLM,Silicone
technology-orphan,Geomiq,https://geomiq.com,Material Jetting,Silicone
material-orphan,3Diligent,https://www.3diligent.com,Silicone,Binder Jetting; DLP; EBM; FDM; MJF; Material Jetting; SLA; SLM; SLS
technology-orphan,3Diligent,https://www.3diligent.com,FDM,Silicone
technology-orphan,3Diligent,https://www.3diligent.com,SLA,Silicone
technology-orphan,3Diligent,https://www.3diligent.com,SLS,Silicone
